,For Read,Gene ID,Outcome,Rev Read,Unintended,Well
44,CM_534180-1095_Unk_08_M13-Forward---20-_G12.ab1,Unk_08,Failed,CM_534180-2095_Unk_08_M13-Reverse_G12.ab1,True,G12
45,CM_534180-1096_Unk_09_M13-Forward---20-_H12.ab1,Unk_09,Failed,CM_534180-2096_Unk_09_M13-Reverse_H12.ab1,True,H12
0,CM_534180-1010_BBF10K_000476_M13-Forward---20-_B02.ab1,BBF10K_000481,Mutation: 0.0 1.0,CM_534180-2010_BBF10K_000476_M13-Reverse_B02.ab1,True,B02
1,CM_534180-1035_BBF10K_000544_M13-Forward---20-_C05.ab1,BBF10K_000508,Perfect,CM_534180-2035_BBF10K_000544_M13-Reverse_C05.ab1,True,C05
2,CM_534180-1036_BBF10K_000522_M13-Forward---20-_D05.ab1,no hit,empty,CM_534180-2036_BBF10K_000522_M13-Reverse_D05.ab1,True,D05
3,CM_534180-1037_BBF10K_000549_M13-Forward---20-_E05.ab1,BBF10K_000504,Mutation: 0.0 1.0,CM_534180-2037_BBF10K_000549_M13-Reverse_E05.ab1,True,E05
4,CM_534180-1038_BBF10K_000550_M13-Forward---20-_F05.ab1,BBF10K_000503,Mutation: 1.0 0.0,CM_534180-2038_BBF10K_000550_M13-Reverse_F05.ab1,True,F05
5,CM_534180-1040_BBF10K_000502_M13-Forward---20-_H05.ab1,BBF10K_000551,Perfect,CM_534180-2040_BBF10K_000502_M13-Reverse_H05.ab1,True,H05
6,CM_534180-1041_BBF10K_000503_M13-Forward---20-_A06.ab1,BBF10K_000550,Perfect,CM_534180-2041_BBF10K_000503_M13-Reverse_A06.ab1,True,A06
7,CM_534180-1042_BBF10K_000508_M13-Forward---20-_B06.ab1,BBF10K_000544,Perfect,CM_534180-2042_BBF10K_000508_M13-Reverse_B06.ab1,True,B06
8,CM_534180-1043_BBF10K_000506_M13-Forward---20-_C06.ab1,BBF10K_000547,Perfect,CM_534180-2043_BBF10K_000506_M13-Reverse_C06.ab1,True,C06
9,CM_534180-1045_BBF10K_000509_M13-Forward---20-_E06.ab1,BBF10K_000543,Perfect,CM_534180-2045_BBF10K_000509_M13-Reverse_E06.ab1,True,E06
10,CM_534180-1046_BBF10K_000518_M13-Forward---20-_F06.ab1,BBF10K_000534,Perfect,CM_534180-2046_BBF10K_000518_M13-Reverse_F06.ab1,True,F06
11,CM_534180-1047_BBF10K_000513_M13-Forward---20-_G06.ab1,BBF10K_000540,Perfect,CM_534180-2047_BBF10K_000513_M13-Reverse_G06.ab1,True,G06
12,CM_534180-1050_BBF10K_000519_M13-Forward---20-_B07.ab1,BBF10K_000533,Perfect,CM_534180-2050_BBF10K_000519_M13-Reverse_B07.ab1,True,B07
13,CM_534180-1053_BBF10K_000547_M13-Forward---20-_E07.ab1,BBF10K_000506,Perfect,CM_534180-2053_BBF10K_000547_M13-Reverse_E07.ab1,True,E07
14,CM_534180-1054_BBF10K_000527_M13-Forward---20-_F07.ab1,BBF10K_000525,Perfect,CM_534180-2054_BBF10K_000527_M13-Reverse_F07.ab1,True,F07
15,CM_534180-1055_BBF10K_000543_M13-Forward---20-_G07.ab1,BBF10K_000509,Mutation: 2.0 0.0,CM_534180-2055_BBF10K_000543_M13-Reverse_G07.ab1,True,G07
16,CM_534180-1056_BBF10K_000528_M13-Forward---20-_H07.ab1,BBF10K_000524,Perfect,CM_534180-2056_BBF10K_000528_M13-Reverse_H07.ab1,True,H07
17,CM_534180-1057_BBF10K_000504_M13-Forward---20-_A08.ab1,BBF10K_000549,Perfect,CM_534180-2057_BBF10K_000504_M13-Reverse_A08.ab1,True,A08
18,CM_534180-1058_BBF10K_000524_M13-Forward---20-_B08.ab1,BBF10K_000528,Perfect,CM_534180-2058_BBF10K_000524_M13-Reverse_B08.ab1,True,B08
19,CM_534180-1059_BBF10K_000514_M13-Forward---20-_C08.ab1,BBF10K_000539,Perfect,CM_534180-2059_BBF10K_000514_M13-Reverse_C08.ab1,True,C08
20,CM_534180-1060_BBF10K_000521_M13-Forward---20-_D08.ab1,BBF10K_000531,Perfect,CM_534180-2060_BBF10K_000521_M13-Reverse_D08.ab1,True,D08
21,CM_534180-1061_BBF10K_000534_M13-Forward---20-_E08.ab1,BBF10K_000513,Perfect,CM_534180-2061_BBF10K_000534_M13-Reverse_E08.ab1,True,E08
22,CM_534180-1062_BBF10K_000551_M13-Forward---20-_F08.ab1,BBF10K_000502,Perfect,CM_534180-2062_BBF10K_000551_M13-Reverse_F08.ab1,True,F08
23,CM_534180-1063_BBF10K_000540_M13-Forward---20-_G08.ab1,BBF10K_000513,Perfect,CM_534180-2063_BBF10K_000540_M13-Reverse_G08.ab1,True,G08
24,CM_534180-1064_BBF10K_000541_M13-Forward---20-_H08.ab1,no hit,empty,CM_534180-2064_BBF10K_000541_M13-Reverse_H08.ab1,True,H08
25,CM_534180-1065_BBF10K_000531_M13-Forward---20-_A09.ab1,BBF10K_000521,Perfect,CM_534180-2065_BBF10K_000531_M13-Reverse_A09.ab1,True,A09
26,CM_534180-1068_BBF10K_000525_M13-Forward---20-_D09.ab1,BBF10K_000527,Perfect,CM_534180-2068_BBF10K_000525_M13-Reverse_D09.ab1,True,D09
27,CM_534180-1069_BBF10K_000548_M13-Forward---20-_E09.ab1,BBF10K_000505,Perfect,CM_534180-2069_BBF10K_000548_M13-Reverse_E09.ab1,True,E09
28,CM_534180-1070_Unk_01_M13-Forward---20-_F09.ab1,BBF10K_000634,Bad clone,CM_534180-2070_Unk_01_M13-Reverse_F09.ab1,True,F09
29,CM_534180-1071_BBF10K_000529_M13-Forward---20-_G09.ab1,BBF10K_000523,Perfect,CM_534180-2071_BBF10K_000529_M13-Reverse_G09.ab1,True,G09
30,CM_534180-1072_BBF10K_000523_M13-Forward---20-_H09.ab1,BBF10K_000529,Perfect,CM_534180-2072_BBF10K_000523_M13-Reverse_H09.ab1,True,H09
31,CM_534180-1073_BBF10K_000511_M13-Forward---20-_A10.ab1,no hit,empty,CM_534180-2073_BBF10K_000511_M13-Reverse_A10.ab1,True,A10
32,CM_534180-1074_BBF10K_000536_M13-Forward---20-_B10.ab1,no hit,empty,CM_534180-2074_BBF10K_000536_M13-Reverse_B10.ab1,True,B10
33,CM_534180-1075_BBF10K_000532_M13-Forward---20-_C10.ab1,BBF10K_000520,Perfect,CM_534180-2075_BBF10K_000532_M13-Reverse_C10.ab1,True,C10
34,CM_534180-1076_BBF10K_000505_M13-Forward---20-_D10.ab1,BBF10K_000548,Perfect,CM_534180-2076_BBF10K_000505_M13-Reverse_D10.ab1,True,D10
35,CM_534180-1077_BBF10K_000530_M13-Forward---20-_E10.ab1,BBF10K_000522,Perfect,CM_534180-2077_BBF10K_000530_M13-Reverse_E10.ab1,True,E10
36,CM_534180-1079_BBF10K_000507_M13-Forward---20-_G10.ab1,BBF10K_000546,Mutation: 1.0 143.0,CM_534180-2079_BBF10K_000507_M13-Reverse_G10.ab1,True,G10
37,CM_534180-1081_BBF10K_000517_M13-Forward---20-_A11.ab1,BBF10K_000535,Perfect,CM_534180-2081_BBF10K_000517_M13-Reverse_A11.ab1,True,A11
38,CM_534180-1082_Unk_02_M13-Forward---20-_B11.ab1,BBF10K_000634,Bad clone,CM_534180-2082_Unk_02_M13-Reverse_B11.ab1,True,B11
39,CM_534180-1090_Unk_03_M13-Forward---20-_B12.ab1,BBF10K_000634,Bad clone,CM_534180-2090_Unk_03_M13-Reverse_B12.ab1,True,B12
40,CM_534180-1091_Unk_04_M13-Forward---20-_C12.ab1,BBF10K_000634,Bad clone,CM_534180-2091_Unk_04_M13-Reverse_C12.ab1,True,C12
41,CM_534180-1092_Unk_05_M13-Forward---20-_D12.ab1,BBF10K_000634,Bad clone,CM_534180-2092_Unk_05_M13-Reverse_D12.ab1,True,D12
42,CM_534180-1093_Unk_06_M13-Forward---20-_E12.ab1,BBF10K_000493,Perfect,CM_534180-2093_Unk_06_M13-Reverse_E12.ab1,True,E12
43,CM_534180-1094_Unk_07_M13-Forward---20-_F12.ab1,BBF10K_000499,Perfect,CM_534180-2094_Unk_07_M13-Reverse_F12.ab1,True,F12
44,CM_534180-1095_Unk_08_M13-Forward---20-_G12.ab1,BBF10K_000478,Perfect,CM_534180-2095_Unk_08_M13-Reverse_G12.ab1,True,G12
45,CM_534180-1096_Unk_09_M13-Forward---20-_H12.ab1,BBF10K_000490,Perfect,CM_534180-2096_Unk_09_M13-Reverse_H12.ab1,True,H12
